DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7912720;1;1;1;26.404872653;3
7912720;1;1;1;26.404872653;3
7912728;1;1;1;167.14876704;5
7912728;1;1;1;167.14876704;5
7912735;1;1;1;252.3242937;2
7912735;1;1;1;252.3242937;2
7912742;1;1;1;239.94426527;2
7912742;2;1;2;239.94426527;3
7912750;2;1;2;258.39989327;4
7912750;1;1;1;258.39989327;3
7912750;1;1;1;258.39989327;3
7912750;2;1;2;258.39989327;4
7912756;1;1;1;138.84546583;5
7912756;2;1;2;138.84546583;6
7912756;1;1;1;138.84546583;5
7912756;2;1;2;138.84546583;6
7912761;1;1;1;178.23345808;2
7912761;2;1;2;178.23345808;3
7912761;1;1;1;178.23345808;2
7912761;2;1;2;178.23345808;3
7912784;1;1;1;164.8532485;4
7912784;1;1;1;164.8532485;4
7912819;1;1;1;270.54991767;5
7912819;1;1;1;270.54991767;5
7912821;1;1;1;316.04438684;1
7912821;1;1;1;316.04438684;1
7912823;1;1;1;12.646476105;3
7912823;2;1;2;12.646476105;4
7912823;3;1;3;12.646476105;5
7912823;1;1;1;12.646476105;3
7912823;2;1;2;12.646476105;4
7912823;3;1;3;12.646476105;5
7912849;1;1;1;125.08368587;5
7912849;1;1;1;125.08368587;5
7912876;1;1;1;94.129412568;3
7912876;2;1;2;94.129412568;4
7912876;1;1;1;94.129412568;3
7912876;2;1;2;94.129412568;4
7912881;1;1;1;115.50566838;3
7912881;1;1;1;115.50566838;3
7912889;1;1;1;276.37577251;3
7912889;1;1;1;276.37577251;3
7912890;1;1;1;106.53407806;2
7912893;1;1;1;81.036551204;3
7912893;2;1;2;81.036551204;4
7912893;1;1;1;81.036551204;3
7912893;2;1;2;81.036551204;4
7912900;1;1;1;115.39859935;2
7912900;1;1;1;115.39859935;2
7912906;1;1;1;476.56312145;3
7912906;1;1;1;476.56312145;3
7912914;1;1;1;27.415516132;2
7912914;2;1;2;27.415516132;3
7912914;1;1;1;27.415516132;2
7912914;2;1;2;27.415516132;3
7912921;1;1;1;23.396473711;4
7912921;2;1;2;23.396473711;5
7912921;3;1;3;23.396473711;6
7912921;1;1;1;23.396473711;4
7912921;2;1;2;23.396473711;5
7912921;3;1;3;23.396473711;6
7912922;1;1;1;97.197728498;2
7912922;2;1;2;97.197728498;3
7912922;1;1;1;97.197728498;2
7912922;2;1;2;97.197728498;3
7912928;1;1;1;165.28389638;3
7912928;1;1;1;165.28389638;3
7912929;1;1;1;88.348703028;2
7912947;1;1;1;107.21630994;3
7912947;1;1;1;107.21630994;3
7912950;1;1;1;149.62312522;4
7912950;2;1;2;149.62312522;8
7912950;3;1;3;149.62312522;9
7912950;1;1;1;149.62312522;4
7912950;2;1;2;149.62312522;8
7912950;3;1;3;149.62312522;9
7912961;1;1;1;18.239891717;2
7912961;1;1;1;18.239891717;2
7912963;1;1;1;71.620914562;3
7912963;1;1;1;71.620914562;3
7912965;1;1;1;114.18790838;3
7912965;1;1;1;114.18790838;3
7912973;1;1;1;204.1803534;3
7912973;1;1;1;204.1803534;3
7912992;1;1;1;159.54246852;2
7912992;1;1;1;159.54246852;2
7912994;1;1;1;87.453810624;3
7912994;2;1;2;87.453810624;4
7912994;1;1;1;87.453810624;3
7912994;2;1;2;87.453810624;4
7913000;1;1;1;91.438106258;2
7913000;1;1;1;91.438106258;2
7913001;1;1;1;166.67795581;2
7913001;1;1;1;166.67795581;2
7913008;1;1;1;75.215639763;1
7913008;1;1;1;75.215639763;1
7913025;1;1;1;99.757430955;2
7913025;1;1;1;99.757430955;2
7913029;1;1;1;291.52195696;3
7913029;2;1;2;291.52195696;4
7913029;1;1;1;291.52195696;3
7913029;2;1;2;291.52195696;4
7913033;1;1;1;5.8789491295;2
7913033;1;1;1;5.8789491295;2
7913036;1;1;1;125.53868526;3
7913036;2;1;2;125.53868526;4
7913051;1;1;1;250.57115974;3
7913051;2;1;2;250.57115974;4
7913051;1;1;1;250.57115974;3
7913051;2;1;2;250.57115974;4
7913084;1;1;1;83.621003739;1
7913084;1;1;1;83.621003739;1
7913110;1;1;1;110.72982036;2
7913110;1;1;1;110.72982036;2
7913184;1;1;1;41.750698717;4
7913189;1;1;1;173.70145878;5
7913189;1;1;1;173.70145878;5
7913200;1;1;1;219.43050777;3
7913200;1;1;1;219.43050777;3
7913213;1;1;1;144.96114596;3
7913213;1;1;1;144.96114596;3
7913225;1;1;1;210.83785316;3
7913225;1;1;1;210.83785316;3
